solanaAddress,allocation
9MxDEj2Kgti4T3uGQYnUykrFnuCsCBYaRhdm6mF6uhCt,3000,
2RPhp6ZEnZkm1VvDgqbvJUSKN3K7vU7X59BAnjSupoB2,3000,
9q8bquAShgkWkLgFGqmRL7gExuSKTs2x7D3SQayheCpV,3000,
8aCYDFcjr9Zb7uYZfwuebJSdSZxC6jQBzDS2xHVvFfdn,3000,
CTumMHQAhUaPhAQKaoMwg9MwEKrrK78sLGEovsom1GXQ,3000,
BFPMdPmrG1rsQXkRr3fi9kHfRrKQHTbWFYwvrxdvZvf7,3000,
E4Y36r48u2X6NuCvwGZVHoc4NRFgiouKXtZEaPARLat9,3000,
GNULFskEkhUimjQhmpYiz6PkBS2gd93FR9MVnKqZW6vL,3000,
38PK4PBwg9Z4Sc6g1YiJMCKwEku5s9hJ7FQH6GsLhV69,3000,
59SD8b6ZXsQsX3iPVXorxu5169gtaFMaEsqu1BM8eYK8,3000,
76da7392B7bvU6Mf6VMa1Cjhfif3MUWsGzbJZCfAWNkR,3000,
ES6w6VXox2fMDeNvjexZvqG5QyyTGgMz4ZpBHhnuQsdo,3000,
9VASMPDF3DSFYo8GS7Y1TnLV5aMA6D8ozpD49ozVSaCv,3000,
2NcSFoXNdQxZ7yPgDfc7zeysbRrVMZDBMhsaA8tfvnkw,3000,
6hEr4SuuhPLbsZNwB5hiVFsHwF8aGgSj7Q1FsYFZWF2P,3000,
HupY3qaYtB3DTwsa6gpSVFafGbEp4oZCjdSPCKLS8ZuY,3000,
3Lb5bZBwcuysUqX1YkocGMkWtaW6EG2KVL3xkee4nVFr,3000,
GVGiLT6ok3YrXmq8jWTdAViqWufLbvmDveFHBDckpgvu,3000,
FCKhqzWJa5qN4Lje9jTPAXy4DF4Am3977XWLwNaLy9Wo,3000,
2kvxvLhHbmToYUT6awcs2w2D8VkRH9xNUFiwatp6UePG,3000,
38cvwBzWceVamUfnTm85hn3LsDpZhpZ6EwmsQU6M53C8,3000,
Ho9JDJJKan7nH6gkcayJ4bpbRbE81J8tQYUFXojwtLr1,3000,
EAGM5EFqe53ncEb3tLEBruw8LSRfU5PWun5u8vkjzHdE,3000,
3cfGmbAMvnmJGkAhtC8X5krqCkcKKDujGGchEgs71TED,3000,
6MteukJRJx32NbvqozafM5d7cntJPMozyws19xriZsnZ,3000,
3hdVhJA9gcNSfhCXd81zfQFTMs8bKCTH4V7SGEeegSSK,3000,
2S4fMuSeVzXyjZPvmmEfHoJWGcL59K8PsvLsCwvFnm7h,3000,
AfA4DFwDgFSb9r2CWiu25vXcMRf6jy1EAzkSegXpQfbL,3000,
73oA8YtZjZE6QsqoArQdh6KqjKTy6LkBUbvY1fPBTipV,3000,
2ACGeNq8LPqze1mPbX5HokWWLFoahwWe1LpQLZPcVqHS,3000,
F6ibnHF1MqbpL5SZW665d64df8NE7QV5TVU6fA7c21Ao,3000,
4HU8iKkDJZLBYVksiutaVeox33bXJ7qodpwwSFCMaSQy,3000,
